sourceId,date,category,amount,status,description
"INV-2025-001","2025-10-11","Servicios","1666","cancelado","Prestación de servicio"
"INV-2025-002","2025-01-03","Inventario","680","activo","Compra de stock"
"INV-2025-003","2025-07-24","Gastos","1974","activo","Pago de gasto operativo"
"INV-2025-004","2025-09-09","Servicios","339","pendiente","Prestación de servicio"
"INV-2025-005","2025-03-21","Gastos","4542","cancelado","Pago de gasto operativo"
"INV-2025-006","2025-04-13","Inventario","4287","completado","Compra de stock"
"INV-2025-007","2025-10-19","Inventario","422","activo","Compra de stock"
"INV-2025-008","2025-11-24","Ventas","1928","activo","Venta de producto comercial"
"INV-2025-009","2025-08-10","Servicios","3033","pendiente","Prestación de servicio"
"INV-2025-010","2025-01-21","Ventas","4533","activo","Venta de producto comercial"
"INV-2025-011","2025-07-30","Ventas","489","completado","Venta de producto comercial"
"INV-2025-012","2025-07-24","Servicios","693","activo","Prestación de servicio"
"INV-2025-013","2025-04-03","Servicios","2196","pendiente","Prestación de servicio"
"INV-2025-014","2025-09-13","Inventario","1297","completado","Compra de stock"
"INV-2025-015","2025-02-21","Servicios","1438","pendiente","Prestación de servicio"
"INV-2025-016","2025-07-23","Servicios","1489","cancelado","Prestación de servicio"
"INV-2025-017","2025-01-05","Gastos","2831","activo","Pago de gasto operativo"
"INV-2025-018","2025-02-16","Inventario","1243","completado","Compra de stock"
"INV-2025-019","2025-05-01","Inventario","591","pendiente","Compra de stock"
"INV-2025-020","2025-05-25","Servicios","377","pendiente","Prestación de servicio"
"INV-2025-021","2025-07-13","Servicios","4333","activo","Prestación de servicio"
"INV-2025-022","2025-09-06","Gastos","1694","pendiente","Pago de gasto operativo"
"INV-2025-023","2025-03-24","Ventas","2147","cancelado","Venta de producto comercial"
"INV-2025-024","2025-05-15","Ventas","3669","completado","Venta de producto comercial"
"INV-2025-025","2025-11-28","Inventario","4002","activo","Compra de stock"
"INV-2025-026","2025-02-16","Inventario","2665","pendiente","Compra de stock"
"INV-2025-027","2025-10-10","Inventario","4571","pendiente","Compra de stock"
"INV-2025-028","2025-08-16","Gastos","2053","activo","Pago de gasto operativo"
"INV-2025-029","2025-06-28","Servicios","1951","cancelado","Prestación de servicio"
"INV-2025-030","2025-09-14","Inventario","2953","completado","Compra de stock"
"INV-2025-031","2025-09-10","Inventario","3782","activo","Compra de stock"
"INV-2025-032","2025-01-29","Inventario","1396","activo","Compra de stock"
"INV-2025-033","2025-03-05","Servicios","1295","activo","Prestación de servicio"
"INV-2025-034","2025-06-14","Gastos","3604","activo","Pago de gasto operativo"
"INV-2025-035","2025-08-14","Gastos","4939","completado","Pago de gasto operativo"
"INV-2025-036","2025-10-22","Ventas","1824","pendiente","Venta de producto comercial"
"INV-2025-037","2025-09-01","Inventario","1760","activo","Compra de stock"
"INV-2025-038","2025-07-28","Inventario","412","activo","Compra de stock"
"INV-2025-039","2025-11-17","Gastos","3264","pendiente","Pago de gasto operativo"
"INV-2025-040","2025-07-24","Gastos","3309","cancelado","Pago de gasto operativo"
"INV-2025-041","2025-03-05","Inventario","3253","completado","Compra de stock"
"INV-2025-042","2025-10-17","Inventario","1767","completado","Compra de stock"
"INV-2025-043","2025-08-09","Inventario","851","cancelado","Compra de stock"
"INV-2025-044","2025-05-11","Servicios","2389","completado","Prestación de servicio"
"INV-2025-045","2025-03-08","Inventario","1939","pendiente","Compra de stock"
